listing_id,last_review_date,number_of_reviews,reviews_per_month
32363,2011-09-19,1,0.01
32965,2019-06-20,124,1.72
32969,2019-07-02,11,0.11
33009,2019-06-17,240,2.19
33014,2019-06-17,30,0.28
33223,2019-06-22,200,1.86
34760,2019-06-29,27,1.05
35526,2019-06-22,79,0.74
36121,2013-05-10,9,0.09
36133,2019-06-13,155,1.61
36442,2018-08-27,4,0.05
36647,2017-05-29,34,0.32
36703,2019-03-31,134,1.24
36934,2018-12-27,27,0.25
38638,2019-06-26,126,1.16
38663,2018-12-31,23,0.27
39267,2019-06-08,234,2.6
39282,2019-05-28,202,1.86
39593,2019-04-12,28,0.26
39704,2019-06-22,309,2.86
40039,2011-04-25,14,0.13
40453,2016-09-23,4,0.08
41348,2019-07-06,80,2.17
41513,2015-11-02,2,0.04
42580,2019-06-24,294,3.47
42729,2019-06-18,150,1.4
42882,2019-06-13,166,1.66
43957,2019-06-19,47,0.94
44096,2019-07-04,219,2.04
44161,2016-07-06,193,1.78
44212,2019-06-23,84,0.78
44221,2019-06-20,114,1.06
44229,2019-06-24,213,2.0
44288,2019-06-01,86,0.8
44506,2019-05-26,80,0.75
45393,2016-04-20,38,0.36
45542,2018-12-17,18,1.79
45556,2019-06-30,206,1.92
45910,2019-05-12,10,0.11
45936,2019-05-14,122,1.18
45940,2019-04-08,33,0.58
46544,2019-06-05,52,0.5
46723,2019-05-19,126,1.17
46911,2019-06-24,51,0.48
47199,2019-06-24,199,1.85
47362,2012-09-03,30,0.29
47370,2015-07-17,3,0.03
47926,2019-06-26,41,0.38
48719,2019-06-15,109,1.04
50447,2019-06-22,151,1.43
51485,2019-06-22,285,2.69
51572,2019-06-18,375,3.52
51850,2019-05-20,52,0.49
53137,2019-07-01,10,1.01
53196,2017-11-13,11,0.48
53469,2015-05-09,33,0.31
53470,2015-10-08,6,0.06
53477,2019-04-27,38,0.38
54158,2019-06-20,358,3.44
54453,2014-01-07,10,0.09
54508,2019-06-06,226,2.12
54544,2019-06-22,104,1.0
54626,2019-06-30,138,1.45
54860,2019-06-23,204,1.92
55467,2019-07-02,253,3.04
55498,2019-07-01,23,0.22
55668,2018-12-05,115,1.17
55737,2019-05-19,129,1.22
55959,2019-06-10,82,1.13
55982,2018-12-31,37,0.35
56467,2019-07-01,204,2.04
56525,2019-06-13,69,0.65
56859,2019-06-03,192,1.84
57166,2019-06-17,17,0.16
57297,2019-06-24,222,2.12
57468,2019-06-23,205,1.96
57618,2019-06-09,94,0.96
57740,2019-05-24,7,0.07
57754,2019-06-30,108,1.09
57874,2019-06-26,222,2.1
58059,2019-07-03,458,4.58
58062,2019-05-17,21,0.26
58467,2019-05-08,17,0.3
59014,2019-01-02,41,0.39
59121,2012-09-17,1,0.01
59642,2019-05-19,69,0.67
59709,2019-07-01,18,0.18
59855,2016-01-05,82,0.78
60164,2019-06-23,94,0.99
60457,2019-05-11,10,0.1
60611,2018-09-29,183,1.83
60666,2019-06-11,189,1.82
60673,2018-10-07,1,0.11
60680,2019-06-20,127,1.22
60794,2017-08-25,4,0.04
60948,2019-06-20,135,1.3
61167,2015-12-12,21,0.2
61224,2017-07-27,35,0.34
61406,2019-06-01,10,2.21
61492,2019-06-23,171,1.8
61509,2019-04-30,92,0.9
62095,2019-06-14,238,2.3
62427,2019-05-26,56,0.58
62430,2019-06-22,111,2.13
62452,2019-06-25,193,1.85
62461,2019-06-10,147,1.44
62787,2019-07-02,177,1.71
62891,2019-05-24,185,1.78
62903,2019-06-21,62,0.7
62925,2019-06-16,124,1.22
63299,2019-06-23,181,1.77
63320,2019-07-02,333,3.19
63360,2019-06-24,441,4.5
63546,2019-05-16,45,0.46
63573,2016-08-29,9,0.09
63610,2019-06-27,38,0.5
63657,2019-06-25,248,2.39
63693,2019-06-19,143,1.38
63719,2018-08-19,36,0.41
64000,2019-01-07,14,0.14
64107,2019-06-24,279,2.69
64277,2019-01-02,18,0.22
64314,2019-05-26,50,3.55
64365,2019-06-27,227,2.27
64707,2019-01-02,1,0.16
64837,2019-06-23,203,1.96
65019,2019-07-06,210,2.1
65268,2019-01-05,64,0.67
65562,2019-01-03,5,0.15
65615,2019-06-29,49,0.48
65660,2019-07-07,132,1.27
65813,2019-01-02,20,0.26
65834,2013-05-02,11,0.11
66008,2019-07-01,51,0.57
66026,2019-06-30,15,0.15
66251,2019-06-25,67,1.31
66275,2019-06-23,109,1.11
66451,2019-02-16,9,0.11
66718,2019-06-23,187,1.87
66741,2019-06-23,214,2.08
66974,2019-07-01,69,0.79
67288,2019-06-15,22,0.26
67299,2019-05-06,56,0.56
67397,2019-06-22,93,0.93
68099,2019-06-25,104,1.05
68305,2018-07-06,64,0.68
68403,2019-06-24,127,1.25
68735,2019-06-13,30,0.32
68765,2019-06-27,106,1.34
68900,2016-11-13,6,0.1
68974,2019-06-20,191,1.88
69894,2019-06-11,48,0.55
69921,2019-06-29,47,0.49
70095,2019-06-30,120,1.27
70128,2019-01-10,52,0.63
70609,2019-06-16,48,0.48
71010,2019-05-24,32,0.43
71248,2019-06-17,43,0.42
71366,2019-06-25,39,0.44
71384,2014-05-13,50,0.5
71812,2019-01-02,4,0.35
72190,2019-02-15,38,0.39
72265,2019-06-16,29,0.36
74073,2019-06-23,59,0.6
74240,2019-06-07,68,0.67
74333,2015-11-25,26,0.27
74404,2012-08-22,31,0.31
74680,2019-05-31,198,2.01
74860,2011-03-28,1,0.01
75193,2019-06-22,220,2.17
75635,2019-06-27,286,2.81
76761,2019-06-28,398,3.97
77765,2019-07-01,36,0.36
77936,2019-06-14,36,0.36
78919,2016-02-05,6,0.1
79067,2019-04-20,14,0.3
79782,2019-03-31,76,0.76
80493,2019-07-04,182,1.81
80684,2016-03-27,8,0.09
80700,2019-05-24,7,0.07
80924,2018-09-25,34,0.51
81739,2011-05-12,2,0.02
82549,2016-09-16,66,0.68
82550,2019-06-30,80,0.85
82638,2019-06-06,240,2.4
82928,2019-07-02,46,1.07
83243,2019-06-10,228,2.27
83446,2018-09-03,5,0.05
83722,2018-08-26,8,0.11
83847,2019-01-02,33,0.33
84010,2019-06-27,13,0.14
84059,2018-07-22,5,0.05
84659,2019-06-26,388,3.88
84905,2019-06-23,223,2.22
85094,2019-01-14,11,0.11
86215,2019-06-24,151,1.51
89621,2019-06-28,218,2.26
93313,2019-06-23,75,0.76
94035,2019-07-06,42,1.21
94477,2019-07-05,370,3.74
94783,2019-06-21,104,1.04
95747,2016-07-18,13,0.13
95883,2018-12-26,4,0.07
96471,2019-06-07,11,0.11
98330,2012-01-03,1,0.01
98663,2018-06-11,19,0.19
99070,2019-05-26,131,1.31
99085,2019-05-01,15,0.15
100002,2019-06-17,136,1.37
100184,2019-07-08,43,0.45
100186,2019-06-28,98,0.99
101053,2019-03-01,31,0.31
102995,2018-01-01,45,0.46
103161,2019-06-26,124,1.76
103311,2018-05-19,9,0.09
103806,2019-05-27,166,1.68
105469,2015-09-21,13,0.13
105510,2019-01-05,15,0.16
106363,2019-06-26,380,3.83
106647,2019-06-16,86,0.87
107630,2019-06-20,248,2.53
107895,2019-06-19,49,0.56
110739,2019-07-03,54,0.57
112100,2013-01-01,3,0.03
112304,2016-01-02,1,0.02
112359,2018-12-28,56,0.57
112435,2019-05-24,163,1.66
113265,2019-06-21,247,2.51
113945,2019-05-11,116,1.17
114123,2019-05-19,27,0.28
114229,2019-06-08,52,0.6
114969,2018-09-24,39,0.4
115535,2019-06-01,35,0.35
115678,2019-06-23,320,3.23
115748,2019-06-16,30,0.32
116940,2019-06-24,225,2.27
117425,2018-05-26,95,0.96
118061,2019-06-28,70,0.75
118430,2019-01-03,35,0.36
120362,2019-07-02,50,0.51
121687,2019-06-23,29,0.31
121861,2016-05-02,23,0.23
123784,2019-06-16,142,1.44
125053,2019-07-01,70,0.73
125163,2019-06-03,38,0.54
125594,2019-05-19,82,0.94
126443,2019-07-07,403,4.1
126816,2014-11-06,3,0.03
127387,2014-08-04,3,0.03
128975,2019-06-13,116,1.18
131154,2019-07-07,175,1.79
132516,2019-07-01,28,1.21
132570,2017-12-26,24,0.25
132695,2016-06-06,15,0.15
133025,2019-06-06,105,1.07
134934,2019-05-30,22,0.38
135393,2019-06-24,263,2.69
135465,2019-06-20,86,0.91
135706,2017-01-01,10,0.1
136493,2019-05-27,18,0.21
138216,2018-07-08,8,0.21
139624,2019-01-31,70,0.73
140133,2019-07-05,150,1.55
140425,2017-05-25,115,1.18
140973,2019-05-26,69,0.71
141154,2019-06-22,232,2.41
141335,2018-01-13,35,0.41
141890,2013-10-01,18,0.21
141984,2019-06-10,68,0.69
142069,2014-11-10,22,0.23
144087,2019-05-18,17,0.17
144148,2016-01-05,34,0.58
145064,2014-06-06,8,0.08
145994,2018-07-06,2,0.08
146754,2019-04-27,52,0.72
147586,2019-06-16,74,0.76
148201,2013-05-31,18,0.19
148259,2019-05-11,72,0.86
148825,2019-06-29,191,2.18
149777,2019-06-23,197,2.49
150804,2019-07-06,19,0.2
151199,2019-07-03,414,4.34
151478,2018-12-11,8,0.09
152078,2019-02-12,25,0.3
152259,2019-05-28,119,1.22
152263,2019-07-06,203,2.14
152520,2018-11-16,53,0.55
153405,2019-06-16,104,1.09
153780,2019-06-28,175,1.8
154934,2018-05-08,38,0.42
155296,2019-05-02,39,0.5
157673,2019-06-16,88,0.91
158061,2017-10-08,27,0.28
158176,2019-06-29,117,1.28
158290,2019-05-20,43,0.44
158913,2015-03-13,4,0.05
158955,2019-06-29,385,4.0
159749,2019-07-01,64,0.68
159815,2019-06-24,39,0.41
159913,2019-07-03,37,1.79
160609,2019-01-01,10,0.12
160994,2019-06-24,103,1.08
161366,2019-06-01,41,0.43
161394,2014-08-31,3,0.03
161996,2019-06-26,227,2.33
162493,2018-12-27,37,0.79
162508,2019-06-28,29,0.35
163627,2017-12-31,205,2.31
163809,2019-06-03,42,0.44
163814,2019-07-05,280,2.92
163836,2019-06-08,86,0.89
164989,2019-06-16,54,0.56
165080,2018-08-29,7,0.07
165461,2019-01-01,57,0.59
165824,2019-05-01,31,0.32
166006,2018-08-23,188,1.94
166172,2019-07-07,480,6.7
166541,2019-06-15,34,0.35
166983,2015-08-08,6,0.06
167013,2018-05-13,3,0.04
167017,2014-08-31,2,0.03
167222,2018-08-24,20,0.21
167482,2019-06-07,129,1.33
168084,2019-06-30,147,1.6
168123,2019-07-01,101,1.06
168546,2016-01-02,11,0.12
168810,2013-10-15,11,0.12
169002,2019-06-16,41,0.43
169152,2017-04-18,87,1.09
169306,2019-05-21,117,1.21
169464,2019-05-16,86,0.89
170420,2016-02-15,15,0.16
170761,2019-07-02,35,0.55
171776,2015-10-01,17,0.18
172700,2016-02-15,3,0.04
172870,2018-01-03,43,0.47
173072,2019-07-06,168,4.6
173151,2019-06-24,241,2.49
173742,2019-06-23,105,1.13
174527,2018-10-28,11,0.46
174966,2018-05-05,30,0.33
176135,2018-10-23,31,0.32
176653,2019-05-07,49,0.51
176962,2019-04-13,23,0.24
177421,2019-06-24,20,0.21
177495,2019-06-24,18,0.9
177606,2019-06-23,90,0.95
179670,2019-06-27,99,1.04
179741,2019-06-28,6,0.06
180507,2018-12-01,21,0.22
180792,2019-04-04,24,0.26
181972,2019-06-02,111,1.17
182069,2019-06-20,86,0.91
182095,2019-04-29,66,0.69
182177,2019-06-20,271,2.84
182649,2019-06-18,227,2.4
185266,2019-07-06,80,1.55
187488,2018-12-03,5,0.07
187566,2019-06-10,187,1.97
187986,2015-08-28,2,0.02
188146,2016-01-01,1,0.02
188661,2018-10-20,67,0.7
188674,2018-01-12,63,0.68
189135,2019-07-01,89,1.0
189181,2014-04-20,1,0.02
189732,2019-06-29,177,1.86
189787,2019-06-30,90,0.94
190267,2019-07-07,39,0.41
190542,2019-05-18,42,0.44
190968,2019-05-08,33,0.35
190974,2019-05-29,179,2.02
191075,2019-03-28,81,0.85
193105,2019-06-29,43,0.45
193333,2018-10-31,52,0.54
193393,2019-06-25,160,1.68
193853,2018-05-21,23,0.27
194154,2017-06-18,35,0.37
195123,2019-06-12,225,2.35
195233,2019-07-04,401,6.62
195240,2019-06-17,72,0.84
195578,2018-12-30,46,0.97
195971,2019-06-23,83,1.19
195989,2019-06-15,211,2.21
196010,2015-06-14,15,0.16
197155,2019-06-23,122,1.29
197753,2019-06-12,295,3.9
197942,2019-07-07,207,2.18
199195,2019-03-30,50,0.65
199312,2019-06-24,273,2.85
200955,2018-04-30,25,0.26
201992,2019-05-11,105,1.62
202273,2016-12-26,72,0.76
203901,2016-09-18,8,0.08
204065,2019-06-04,58,0.61
204833,2015-09-17,8,0.09
204959,2019-07-02,172,1.84
205043,2019-06-20,330,7.14
205485,2019-06-11,123,1.29
205735,2019-04-30,55,0.59
205867,2019-07-03,87,0.99
206071,2019-06-25,258,2.7
206316,2018-08-27,4,0.18
206772,2019-05-26,31,0.33
206957,2016-11-15,128,1.34
208148,2015-08-31,14,0.15
208889,2019-06-24,30,0.32
209310,2019-05-28,258,2.9
211078,2018-04-25,228,2.39
211974,2019-07-01,60,0.65
212109,2019-06-30,9,0.2
212178,2019-06-19,179,1.88
212544,2016-06-23,9,0.1
213272,2019-04-21,1,0.37
213330,2018-08-29,25,0.49
214917,2018-02-08,2,0.05
215560,2019-06-25,152,1.6
215784,2019-03-31,24,0.25
215907,2019-04-22,45,0.47
217580,2018-11-14,7,0.08
218358,2019-06-03,19,0.35
219066,2019-01-19,24,0.26
219482,2017-10-14,8,0.09
219793,2015-06-03,29,0.31
219818,2015-07-20,14,0.15
219922,2019-05-25,33,0.38
220351,2019-02-28,99,1.04
220563,2017-01-05,59,0.62
220946,2019-06-16,142,1.5
221097,2019-03-15,22,0.23
221618,2019-05-21,82,0.87
222054,2018-09-15,23,0.24
222304,2019-05-08,32,0.34
223930,2019-06-23,24,0.25
224004,2018-10-26,59,0.63
224006,2015-01-02,6,0.08
224510,2018-07-05,18,0.21
225297,2018-12-26,3,0.03
225306,2019-07-05,115,1.21
225887,2019-06-19,154,1.63
225926,2019-07-01,164,1.73
225976,2019-06-13,76,0.8
226021,2019-06-30,116,1.23
227715,2019-06-30,234,2.47
227735,2019-06-24,120,1.27
228317,2019-05-18,82,0.87
228496,2019-05-26,13,0.15
228517,2019-06-24,59,0.64
228925,2019-06-26,63,1.87
228979,2018-08-14,52,0.55
229367,2019-07-03,278,2.95
229874,2012-01-02,1,0.01
230321,2019-06-09,35,0.4
230854,2019-06-29,235,2.49
230877,2019-06-30,115,1.21
230956,2015-10-02,109,1.15
231414,2013-07-09,1,0.01
232612,2019-06-27,305,3.24
232618,2019-06-18,102,1.52
233189,2019-05-31,83,0.88
233638,2018-07-31,19,0.25
233662,2019-05-18,61,0.65
234184,2019-06-30,89,0.94
234870,2017-07-31,65,0.74
235552,2019-06-16,40,0.44
235651,2019-04-26,80,0.86
235951,2019-06-19,136,1.45
235960,2018-05-28,100,1.06
236671,2019-07-06,125,1.36
236788,2019-04-14,40,0.5
237127,2019-04-28,139,1.59
239055,2014-10-06,2,0.03
239733,2019-06-26,49,0.53
239766,2018-05-18,8,0.11
239883,2019-05-25,124,1.32
239899,2018-12-19,5,0.12
240800,2019-06-30,147,1.57
241140,2019-04-14,43,0.46
241159,2019-01-03,8,0.33
241862,2019-01-02,37,0.39
242532,2019-06-19,120,1.28
242643,2019-01-01,24,0.29
243229,2017-07-09,5,0.05
243708,2019-04-01,242,2.59
245504,2019-06-21,229,2.45
245544,2019-06-19,108,1.36
245574,2019-06-05,181,1.92
245607,2019-07-01,34,0.39
246134,2016-10-02,5,0.05
246351,2015-08-17,5,0.06
246916,2019-06-25,60,0.64
246938,2019-06-23,238,2.59
248865,2019-04-22,34,0.37
248871,2019-06-24,131,1.4
249414,2017-06-28,6,0.16
249618,2015-07-03,4,0.06
249867,2018-10-07,7,0.08
250259,2019-07-07,125,3.04
250323,2014-12-03,49,0.58
250536,2017-09-25,11,0.12
250801,2019-05-23,107,1.15
251262,2019-06-29,241,2.6
251277,2019-06-29,176,1.89
252076,2019-06-16,151,1.63
252607,2018-08-09,49,0.53
253332,2018-09-01,13,0.14
253466,2019-06-24,33,0.47
253471,2018-11-06,24,0.32
253475,2019-06-24,59,0.66
253548,2015-06-25,2,0.04
253590,2019-06-28,16,0.23
253623,2018-11-26,72,0.77
253800,2019-04-25,24,0.26
253803,2019-06-22,23,0.26
253806,2019-07-02,43,0.47
253811,2019-07-03,30,0.32
253815,2019-06-29,39,0.44
253828,2018-07-26,8,0.09
253839,2015-11-03,3,0.03
253842,2018-04-19,6,0.1
253846,2015-12-04,4,0.05
254131,2019-07-06,56,0.66
254168,2018-11-16,7,0.08
254409,2014-01-13,2,0.03
255024,2019-06-24,178,2.69
255476,2019-05-31,30,0.8
255601,2019-06-23,190,2.04
255957,2019-06-30,25,0.27
256078,2019-05-31,81,0.98
256328,2019-06-22,7,0.08
256369,2019-07-01,216,2.31
257097,2019-01-28,31,0.33
257568,2017-08-12,53,0.57
257787,2019-06-21,247,2.65
258284,2019-04-10,233,2.5
258397,2019-06-24,135,1.45
258686,2015-12-30,20,0.23
258688,2019-06-02,46,0.5
258690,2014-10-26,10,0.12
258740,2018-06-30,143,2.83
258838,2019-05-22,21,0.26
259946,2019-05-19,8,0.09
260451,2017-08-28,4,0.05
260765,2019-07-01,314,3.45
261194,2019-06-18,18,0.25
261259,2015-05-27,11,0.12
261344,2019-06-02,51,0.55
261674,2017-04-01,20,0.33
261781,2017-12-30,8,0.12
262343,2019-06-06,59,0.63
262405,2019-06-24,54,0.62
262478,2018-12-31,10,0.46
262583,2019-06-25,153,1.66
263005,2019-06-02,110,1.2
263190,2019-01-01,69,0.91
263232,2019-01-27,1,0.18
263502,2015-08-19,24,0.26
263776,2019-01-02,95,1.02
263888,2019-04-28,129,1.41
264323,2019-03-31,171,1.84
265036,2019-06-09,20,0.59
265064,2017-05-03,17,0.27
265145,2015-01-08,8,0.09
265506,2015-11-01,11,0.12
265831,2018-07-05,5,0.09
266146,2019-03-19,36,0.39
266155,2019-03-31,16,0.17
266351,2018-07-12,5,0.12
266449,2019-06-03,68,0.77
266756,2018-06-30,89,0.99
267376,2019-06-24,10,1.02
267435,2019-07-01,38,0.85
267535,2019-06-09,15,0.17
267652,2019-01-21,20,0.42
267708,2019-06-15,25,0.96
268392,2019-05-27,35,0.42
268481,2013-09-24,1,0.01
268868,2019-06-02,64,0.7
269283,2019-02-16,26,0.33
269889,2019-06-25,244,2.74
270139,2019-01-15,21,0.29
270231,2019-07-07,270,2.95
270315,2019-03-27,16,0.19
270345,2019-06-27,24,0.26
270680,2019-06-28,30,0.33
270681,2015-09-07,5,0.06
271083,2019-06-12,115,1.25
271128,2019-06-25,9,0.19
271130,2019-05-26,45,0.52
271694,2015-09-08,19,0.21
271950,2018-12-31,5,0.08
271954,2019-06-20,203,2.22
272026,2018-01-02,20,0.41
272044,2018-10-27,49,0.53
272427,2019-04-21,6,0.07
272706,2017-06-18,7,0.08
272738,2019-06-30,35,0.38
273190,2018-09-25,28,0.31
274062,2019-06-24,54,0.88
274329,2019-06-25,115,1.75
274376,2019-06-24,6,0.13
274743,2014-08-31,1,0.02
275976,2019-06-30,204,2.31
276216,2016-09-01,1,0.03
276317,2019-06-23,89,0.97
276482,2019-06-02,130,1.42
277207,2019-06-08,15,0.25
277370,2019-05-13,52,0.6
277883,2017-12-29,58,0.63
278090,2019-06-11,208,2.32
278145,2017-06-20,3,0.03
278631,2013-04-21,7,0.08
278876,2017-03-18,1,0.04
279093,2018-04-10,2,0.06
279857,2019-07-02,122,1.37
279969,2019-06-18,63,0.72
280315,2014-10-31,26,0.28
281521,2012-10-02,1,0.01
281756,2019-06-19,14,0.16
281851,2019-06-25,107,2.38
282341,2017-07-30,3,0.05
282443,2019-05-18,107,1.17
282514,2019-06-25,29,1.57
282863,2019-06-21,69,0.76
282977,2019-07-06,232,2.52
283090,2018-08-10,24,0.26
283272,2016-08-03,5,0.06
283550,2019-04-21,10,0.23
284208,2018-11-12,36,0.47
284855,2019-06-19,94,1.1
285442,2013-05-06,1,0.01
285492,2018-08-03,63,0.71
285716,2013-09-11,5,0.06
286662,2019-07-02,238,2.6
286838,2015-10-31,101,1.1
287397,2019-06-24,21,0.23
287408,2018-07-31,72,0.82
287417,2019-06-23,40,0.68
287421,2017-08-01,103,1.13
287481,2019-05-01,66,0.72
287839,2019-06-27,35,0.4
287845,2019-07-01,121,1.33
289020,2018-08-29,15,0.19
289037,2016-09-05,13,0.18
289288,2019-05-11,129,1.42
289665,2016-08-11,157,1.71
289703,2016-11-26,8,0.11
289958,2014-09-09,5,0.06
289995,2019-06-23,46,0.52
290457,2019-02-16,37,0.41
291524,2019-06-25,14,0.16
291714,2018-04-15,37,0.45
291812,2016-08-30,1,0.03
292047,2019-07-04,209,2.38
292121,2018-09-12,4,0.07
292266,2019-04-01,17,0.19
293837,2019-06-11,54,0.66
294227,2019-06-22,43,0.49
294239,2017-04-18,7,0.08
294242,2019-06-05,75,0.93
294250,2019-06-07,88,0.99
294259,2019-06-30,73,0.84
294263,2019-07-01,89,1.06
294280,2019-04-23,23,0.26
294297,2019-06-23,11,0.16
294353,2019-02-16,84,1.12
294490,2019-06-10,54,0.61
294717,2015-05-20,17,0.19
295231,2014-03-24,1,0.02
295379,2019-06-19,73,0.89
295998,2019-05-01,36,0.47
296345,2019-05-31,98,1.07
296361,2019-05-18,63,0.89
296658,2017-09-21,2,0.09
296717,2018-10-10,18,0.2
296844,2013-12-04,24,0.28
297611,2018-05-13,1,0.07
297962,2018-01-02,2,0.05
298073,2016-11-08,23,0.25
298759,2019-07-07,93,1.12
299078,2019-06-23,152,1.69
299531,2019-06-30,119,1.39
299699,2018-04-02,9,0.1
301034,2019-06-26,44,0.49
302057,2019-01-02,158,1.77
302758,2016-03-26,12,0.14
303345,2019-05-04,51,0.57
304799,2019-06-09,11,0.13
305211,2019-06-18,236,2.74
306702,2018-09-01,16,0.18
306799,2019-02-28,123,1.42
309342,2015-08-19,14,0.22
310220,2018-12-30,65,0.73
310272,2019-06-03,50,0.56
310325,2019-06-10,33,0.39
310338,2019-01-01,30,0.35
310524,2019-01-31,13,0.15
310796,2019-06-07,18,0.2
311003,2013-04-21,1,0.01
311343,2019-05-14,216,2.44
311356,2019-05-01,98,1.09
312429,2019-06-02,61,0.86
313890,2019-04-23,13,0.34
314982,2019-07-01,136,1.52
316238,2019-06-09,39,0.47
317838,2019-07-01,65,0.73
317905,2019-01-02,62,0.71
318021,2019-06-30,47,0.57
318187,2019-06-20,42,0.48
319724,2019-06-16,207,2.29
319798,2019-07-03,72,0.81
319844,2019-05-02,22,0.25
320865,2019-03-31,25,0.28
320876,2019-06-30,215,2.42
320877,2017-06-24,26,0.73
321014,2018-01-02,18,0.21
321136,2018-12-31,18,0.21
322037,2019-07-07,320,3.6
322604,2019-07-02,160,1.8
322974,2019-02-08,78,1.22
323706,2018-08-03,64,0.72
324115,2019-06-19,219,2.44
324517,2017-12-10,66,0.94
324800,2018-12-22,25,0.29
325429,2019-06-28,102,1.15
326832,2019-06-23,32,0.47
326956,2019-04-22,15,0.18
327521,2015-11-16,1,0.02
327778,2019-06-30,12,0.14
328040,2019-06-11,19,0.27
328693,2019-06-24,297,3.37
328744,2019-07-07,12,0.13
329064,2017-01-02,9,0.11
329310,2016-05-14,9,0.1
